Month,Day,Hour,Minute,Humidity,Pressure,Temperature
2,13,0,0,66.0,995.0,4.0
2,13,0,20,75.0,994.0,4.0
2,13,0,50,75.0,993.0,4.0
2,13,1,0,65.0,994.0,4.0
2,13,1,20,75.0,993.0,4.0
2,13,1,50,75.0,993.0,4.0
2,13,2,0,73.0,993.0,3.0
2,13,2,20,87.0,992.0,3.0
2,13,2,50,87.0,991.0,3.0
2,13,3,0,84.0,992.0,3.0
2,13,3,20,87.0,991.0,3.0
2,13,3,50,93.0,990.0,2.0
2,13,4,0,87.0,991.0,2.0
2,13,4,20,93.0,990.0,2.0
2,13,4,50,93.0,990.0,2.0
2,13,5,0,89.0,990.0,2.0
2,13,5,20,93.0,990.0,2.0
2,13,5,50,93.0,989.0,2.0
2,13,6,0,91.0,990.0,2.0
2,13,6,20,93.0,989.0,3.0
2,13,6,50,93.0,989.0,3.0
2,13,7,0,86.0,990.0,3.0
2,13,7,20,93.0,989.0,3.0
2,13,7,50,93.0,989.0,3.0
2,13,8,0,88.0,990.0,3.0
2,13,8,20,87.0,989.0,4.0
2,13,8,50,87.0,989.0,4.0
2,13,9,0,85.0,990.0,4.0
2,13,9,20,87.0,989.0,4.0
2,13,9,50,87.0,989.0,4.0
2,13,10,0,82.0,990.0,4.0
2,13,10,20,81.0,989.0,5.0
2,13,10,50,81.0,989.0,5.0
2,13,11,0,69.0,990.0,6.0
2,13,11,20,76.0,990.0,6.0
2,13,11,50,76.0,990.0,6.0
2,13,12,0,66.0,990.0,6.0
2,13,12,20,76.0,990.0,6.0
2,13,12,50,76.0,989.0,6.0
2,13,13,0,62.0,990.0,6.0
2,13,13,20,70.0,990.0,6.0
2,13,13,50,66.0,989.0,7.0
2,13,14,20,66.0,989.0,7.0
2,13,14,50,66.0,989.0,7.0
2,13,15,0,56.0,990.0,6.0
2,13,15,20,70.0,989.0,6.0
2,13,15,50,66.0,990.0,6.0
2,13,16,0,55.0,990.0,6.0
2,13,16,20,66.0,990.0,6.0
2,13,16,50,70.0,990.0,5.0
2,13,17,0,60.0,991.0,5.0
2,13,17,20,70.0,991.0,5.0
2,13,17,50,70.0,991.0,5.0
2,13,18,0,62.0,992.0,5.0
2,13,18,20,70.0,991.0,5.0
2,13,18,50,75.0,991.0,4.0
2,13,19,0,67.0,992.0,4.0
2,13,19,20,75.0,992.0,4.0
2,13,19,50,75.0,992.0,4.0
2,13,20,20,75.0,992.0,4.0
2,13,20,50,81.0,993.0,3.0
2,13,21,0,73.0,993.0,3.0
2,13,21,20,81.0,993.0,3.0
2,13,21,50,75.0,993.0,4.0
2,13,22,0,72.0,994.0,4.0
2,13,22,20,81.0,993.0,3.0
2,13,22,50,81.0,994.0,3.0
2,13,23,0,71.0,994.0,3.0
2,13,23,20,81.0,994.0,3.0
2,13,23,50,87.0,994.0,2.0
2,14,0,0,76.0,994.0,2.0
2,14,0,20,81.0,994.0,2.0
2,14,0,50,87.0,994.0,1.0
2,14,1,0,82.0,995.0,2.0
2,14,1,20,93.0,995.0,1.0
2,14,1,50,93.0,995.0,1.0
2,14,2,0,86.0,996.0,1.0
2,14,2,20,93.0,995.0,1.0
2,14,2,50,93.0,996.0,1.0
2,14,3,0,84.0,996.0,1.0
2,14,3,20,87.0,996.0,1.0
2,14,3,50,93.0,996.0,1.0
2,14,4,0,86.0,997.0,1.0
2,14,4,20,93.0,996.0,1.0
2,14,4,50,87.0,997.0,1.0
2,14,5,0,86.0,997.0,1.0
2,14,5,20,93.0,997.0,1.0
2,14,5,50,93.0,997.0,2.0
2,14,6,0,89.0,998.0,2.0
2,14,6,20,93.0,997.0,2.0
2,14,6,50,93.0,998.0,2.0
2,14,7,0,91.0,998.0,2.0
2,14,7,20,93.0,998.0,2.0
2,14,7,50,93.0,998.0,2.0
2,14,8,0,87.0,999.0,2.0
2,14,8,20,93.0,999.0,2.0
2,14,8,50,93.0,999.0,3.0
2,14,9,0,89.0,1000.0,3.0
2,14,9,20,93.0,999.0,3.0
2,14,9,50,87.0,1000.0,4.0
2,14,10,0,82.0,1000.0,4.0
2,14,10,50,81.0,1001.0,5.0
2,14,11,20,81.0,1001.0,5.0
2,14,11,50,87.0,1001.0,5.0
2,14,12,0,75.0,1002.0,6.0
2,14,12,20,81.0,1001.0,6.0
2,14,12,50,76.0,1002.0,6.0
2,14,13,0,72.0,1002.0,6.0
2,14,13,20,87.0,1002.0,5.0
2,14,13,50,81.0,1002.0,6.0
2,14,14,0,72.0,1002.0,6.0
2,14,14,20,81.0,1002.0,6.0
2,14,14,50,76.0,1002.0,6.0
2,14,15,0,67.0,1002.0,6.0
2,14,15,20,76.0,1002.0,6.0
2,14,15,50,76.0,1002.0,6.0
2,14,16,0,70.0,1003.0,6.0
2,14,16,20,76.0,1002.0,6.0
